user_id,zone,latitude,longitude
0,Downtown,40.703383357993864,-74.00911663406518
1,Brooklyn,40.68385238921393,-73.94662350998433
2,Brooklyn,40.684113624303585,-73.95103681532132
3,Uptown,40.78072816592797,-73.97138135827247
4,Uptown,40.78570637965227,-73.97254126106131
5,Queens,40.7271145063797,-73.78578651166832
6,Downtown,40.714009541975074,-74.00170382306517
7,Brooklyn,40.67246370288378,-73.94677325556523
8,Midtown,40.7580124631162,-73.99233116476056
9,Downtown,40.70459407384888,-74.01741835256122
10,Uptown,40.773950349188354,-73.97633126639974
11,Queens,40.72759035841666,-73.8015560827381
12,Brooklyn,40.67714378360194,-73.9424569329054
13,Brooklyn,40.67956150865275,-73.9449247351298
14,Brooklyn,40.674952462548816,-73.94411336861975
15,Brooklyn,40.68762845832892,-73.94894460954241
16,Uptown,40.783903024946895,-73.9704398380263
17,Downtown,40.71396440889258,-74.0131020324042
18,Queens,40.729186169387035,-73.7953414995452
19,Uptown,40.78811454934474,-73.9670487641852
20,Uptown,40.78598008707242,-73.97302716390993
21,Midtown,40.75711008949854,-73.98178178087966
22,Downtown,40.71647992052433,-74.01588432389285
23,Queens,40.719076926814765,-73.80518542398457
24,Brooklyn,40.66926576174707,-73.94256370632202
25,Brooklyn,40.67781970627349,-73.93896490478369
26,Uptown,40.78211163058659,-73.97239116986748
27,Queens,40.73109904922024,-73.7841739578887
28,Uptown,40.783200084510916,-73.97841699005372
29,Uptown,40.78600932467227,-73.97459991904219
30,Uptown,40.77687202365219,-73.97049954150974
31,Midtown,40.754846277147955,-73.98167812576415
32,Downtown,40.70609471631021,-74.00891951350262
33,Uptown,40.785034289671856,-73.97649632499714
34,Queens,40.718808574788184,-73.79179868567383
35,Downtown,40.714541550492704,-74.00533379672015
36,Queens,40.720855003095515,-73.79662310511104
37,Queens,40.726282361033896,-73.7924059272081
38,Midtown,40.759374638457246,-73.98468173924944
39,Brooklyn,40.67933689994299,-73.94489871091598
40,Downtown,40.70457169888138,-74.00688288465575
41,Brooklyn,40.67483803077653,-73.94830528876749
42,Brooklyn,40.670693107372614,-73.94881371740989
43,Midtown,40.746426207501976,-73.98662851159816
44,Downtown,40.71338831588067,-74.00583964513498
45,Queens,40.7310014917178,-73.8042563675308
46,Uptown,40.785303029603575,-73.96647627649233
47,Queens,40.7312131340744,-73.79480779371261
48,Brooklyn,40.67814044574557,-73.94952544785626
49,Brooklyn,40.676833048906246,-73.93611702413932
50,Brooklyn,40.67283465336469,-73.94399103835518
51,Downtown,40.71059960164125,-74.0126757441446
52,Midtown,40.74829325807337,-73.97614139543073
53,Uptown,40.77887417236436,-73.9644256591844
54,Uptown,40.78354463435219,-73.97574390504452
55,Downtown,40.7122109695623,-74.00761490059048
56,Uptown,40.79842364018947,-73.97348793458131
57,Downtown,40.70607102201247,-74.01544734371551
58,Brooklyn,40.677574506395835,-73.94257656247052
59,Brooklyn,40.67108133944398,-73.93997427297292
60,Queens,40.726261070620154,-73.79161555593447
61,Brooklyn,40.67646453408942,-73.94403623099892
62,Midtown,40.759124400131164,-73.97928920469856
63,Queens,40.72595166730391,-73.80057672920675
64,Uptown,40.78214340199972,-73.96210859204044
65,Midtown,40.752748410187635,-73.98786041053316
66,Queens,40.72119474127972,-73.79820503824587
67,Midtown,40.75163948814103,-73.98687607881203
68,Downtown,40.71089031642458,-74.00924073357429
69,Uptown,40.78346912941703,-73.97216362028236
70,Brooklyn,40.68099473643612,-73.94535722408527
71,Downtown,40.71162701745145,-74.00535180007682
72,Uptown,40.78183911868009,-73.9752934856967
73,Downtown,40.70419593420757,-74.0051669782199
74,Brooklyn,40.68089867258628,-73.94965213646944
75,Uptown,40.77962051056425,-73.96753762640007
76,Midtown,40.75863561619115,-73.98039964958647
77,Midtown,40.76148219973927,-73.98402893455219
78,Uptown,40.78216042486653,-73.97444848560676
79,Brooklyn,40.67308344359617,-73.94264433343675
80,Queens,40.72811650693457,-73.79933823581297
81,Uptown,40.78484350999009,-73.97102729884331
82,Downtown,40.711222399993765,-74.00675907641278
83,Queens,40.725379807953104,-73.78175045783168
84,Brooklyn,40.68101766105348,-73.95033526257991
85,Brooklyn,40.680687891373466,-73.95753654978364
86,Downtown,40.71106855179836,-74.00918790221553
87,Midtown,40.74662966917369,-73.99257765809571
88,Brooklyn,40.68048189092689,-73.94783347430474
89,Queens,40.7243633640328,-73.8013880206882
90,Uptown,40.78417170537685,-73.97572250331267
91,Queens,40.728955786158394,-73.80022454829505
92,Queens,40.71875526286479,-73.79008524258451
93,Midtown,40.75530540842206,-73.98424264738672
94,Queens,40.730772662626876,-73.78952273598429
95,Midtown,40.758085762076554,-73.98379759257914
96,Midtown,40.75548682875548,-73.97935705038518
97,Brooklyn,40.66831406978025,-73.94571072551719
98,Brooklyn,40.68458540531093,-73.93622723984728
99,Downtown,40.71485511333771,-74.00364515910609
100,Queens,40.72218340335315,-73.79879910560483
101,Downtown,40.70886118479921,-74.00290425199046
102,Queens,40.72935612104647,-73.79476450802045
103,Downtown,40.71619892096649,-74.00701253841065
104,Brooklyn,40.67576018571826,-73.94371989358075
105,Brooklyn,40.68232762703689,-73.94044375132943
106,Brooklyn,40.66923616585449,-73.95478756291831
107,Brooklyn,40.672987704944525,-73.94595470223864
108,Uptown,40.772778179950784,-73.96778664642702
109,Brooklyn,40.67371297428565,-73.94295886367487
110,Midtown,40.76244038592272,-73.989631904947
111,Brooklyn,40.688489011172926,-73.95603881185254
112,Uptown,40.78427295234115,-73.96269536666601
113,Uptown,40.77990785396366,-73.97213541024688
114,Uptown,40.781991800495746,-73.96362975245626
115,Uptown,40.78546669945416,-73.96722518625089
116,Downtown,40.704985095741804,-74.00996806778278
117,Downtown,40.7099375041201,-74.01850716894542
118,Midtown,40.76207446537225,-73.98631074712097
119,Downtown,40.70757144965336,-74.00618621183251
120,Uptown,40.77935487550369,-73.96894669989211
121,Brooklyn,40.6782659682799,-73.94975439303323
122,Brooklyn,40.67961571129752,-73.94330996708473
123,Uptown,40.779974979769,-73.97031179046209
124,Queens,40.72858482191626,-73.78997023416869
125,Uptown,40.786139697668695,-73.97273403506799
126,Downtown,40.72260725911882,-74.00378620301858
127,Brooklyn,40.677568778102824,-73.94275781525428
128,Uptown,40.782893513423296,-73.9668220666344
129,Brooklyn,40.685837261729894,-73.94829955213508
130,Uptown,40.780354170708506,-73.98655427994044
131,Uptown,40.77647823483618,-73.97238431505261
132,Downtown,40.7140512448783,-74.00715483104558
133,Uptown,40.78848087512544,-73.97698759431941
134,Brooklyn,40.68000523567599,-73.95174030354818
135,Midtown,40.75441492171226,-73.98687350477579
136,Brooklyn,40.670958033134326,-73.94477438618955
137,Downtown,40.71250815377366,-74.00552286056342
138,Midtown,40.76106577463158,-73.99542652768147
139,Uptown,40.7769294145923,-73.97996769990903
140,Queens,40.72697626413098,-73.78925222239701
141,Midtown,40.75296257633921,-73.98494804071764
142,Midtown,40.75141147714681,-73.98401216817537
143,Uptown,40.784339615022596,-73.97786628314832
144,Queens,40.730416526206284,-73.79492201833833
145,Queens,40.73036413452397,-73.79677835490496
146,Downtown,40.707915951181924,-74.00909266075557
147,Midtown,40.74667008152833,-73.99130917085168
148,Queens,40.729511942182654,-73.79924243565665
149,Downtown,40.71027040479259,-73.99613991265988
150,Queens,40.737391561898434,-73.79664735291519
151,Midtown,40.764322548480074,-73.98005190190467
152,Queens,40.73815344897198,-73.79588198899394
153,Midtown,40.75019944549483,-73.98556058013574
154,Uptown,40.785946845433706,-73.97438001317198
155,Brooklyn,40.68255476258626,-73.93747184002865
156,Downtown,40.71659177116772,-74.00413464051884
157,Uptown,40.781328010279026,-73.9751480455261
158,Uptown,40.78949582451482,-73.97317055008213
159,Brooklyn,40.67820237493183,-73.9388204649436
160,Queens,40.72884053062468,-73.80909269206228
161,Brooklyn,40.67051083274111,-73.94264748889891
162,Uptown,40.78632382484786,-73.96851199262255
163,Uptown,40.78179794143214,-73.97494873212787
164,Uptown,40.7854238943105,-73.97042702846466
165,Queens,40.72937556849902,-73.79238845067518
166,Midtown,40.755804682883316,-73.99015573247279
167,Downtown,40.712571432137665,-74.00179032398455
168,Midtown,40.7588329986733,-73.98251329939978
169,Downtown,40.71180553731558,-74.00676486836959
170,Downtown,40.705524012902735,-74.0054753580574
171,Downtown,40.71564477803187,-74.00246403798559
172,Brooklyn,40.67415497237544,-73.93261941769134
173,Brooklyn,40.67157869078659,-73.94115026798663
174,Brooklyn,40.673088783329284,-73.94014708755594
175,Uptown,40.78451666189678,-73.97023236584668
176,Brooklyn,40.677717405984524,-73.93469174352083
177,Downtown,40.70213658485164,-74.01332996741687
178,Queens,40.72628172028474,-73.80358700903234
179,Uptown,40.78894615612487,-73.97043483635173
180,Queens,40.725943521645334,-73.79159928907572
181,Downtown,40.71197261723287,-74.01887307800756
182,Uptown,40.788314957186635,-73.97121717813926
183,Brooklyn,40.68217744629102,-73.9451024487932
184,Uptown,40.788208755438255,-73.96747920905744
185,Uptown,40.76923723194973,-73.9690563222934
186,Downtown,40.72146761519221,-74.01504110927434
187,Midtown,40.75808200217714,-73.98940028620777
